,general,expert
0,AdditionalAnswers,"{'Geographic Information System ,0.54'}"
1,AdditionalMatchers,"{'Event Handling,0.5'}"
2,Answers,"{'Error Handling,0.52', 'Software Development and IT Operations,0.58'}"
3,ArgumentMatchers,"{'Big Data,0.44'}"
4,BDDMockito,"{'Test,0.45'}"
5,ExceededMemoryLimitException,"{'Error Handling,0.6'}"
6,ExceededSpillLimitException,"{'Error Handling,0.53'}"
7,JSci,"{'Data Structure,0.53'}"
8,Matchers,"{'Event Handling,0.34'}"
9,Mockito,"{'Test,0.3', 'Parser,0.3', 'Parser,0.23', 'Parser,0.22'}"
10,MockitoAnnotations,"{'Software Development and IT Operations,0.49'}"
11,PrestoMediaTypes,"{'Big Data,0.47', 'Application,0.59', 'Search,0.36'}"
12,RowPageBuilder,"{'Search,0.48'}"
13,RowPagesBuilder,"{'Big Data,0.48'}"
14,SequencePageBuilder,"{'Data Structure,0.57'}"
15,Session,"{'Event Handling,0.47', 'Application Performance Manager,0.59', 'Application Performance Manager,0.5'}"
16,SessionTestUtils,"{'Test,0.82'}"
17,SystemSessionProperties,"{'Input and Output,0.79', 'Big Data,0.57', 'Software Development and IT Operations,0.66', 'Input and Output,0.59', 'Big Data,0.62', 'Data Structure,0.61', 'Software Development and IT Operations,0.32', 'Data Structure,0.55', 'Input and Output,0.63', 'Database,0.59', 'Data Structure,0.49', 'Data Structure,0.52', 'Input and Output,0.47', 'Error Handling,0.63', 'Big Data,0.61', 'Software Development and IT Operations,0.68', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Software Development and IT Operations,0.46', 'Input and Output,0.61', 'Software Development and IT Operations,0.58', 'Data Structure,0.64', 'Data Structure,0.57', 'Input and Output,0.74', 'Big Data,0.37', 'Software Development and IT Operations,0.7', 'User Interface,0.63', 'Data Structure,0.51', 'Software Development and IT Operations,0.55', 'Big Data,0.67', 'Data Structure,0.7', 'Big Data,0.51', 'Software Development and IT Operations,0.54', 'Database,0.66', 'Natural Language Processing,0.61', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.69', 'Input and Output,0.57', 'Software Development and IT Operations,0.49', 'Software Development and IT Operations,0.56', 'Database,0.63', 'Software Development and IT Operations,0.65', 'Data Structure,0.27', 'Software Development and IT Operations,0.62', 'Big Data,0.64', 'Software Development and IT Operations,0.67'}"
18,TransactionBuilder,"{'Application Performance Manager,0.55'}"
19,accumulo,"{'Big Data,0.57', 'Multi Thread,0.5', 'Big Data,0.56', 'Data Structure,0.61', 'Input and Output,0.58', 'User Interface,0.59', 'Multi Thread,0.38', 'Data Structure,0.55', 'Data Structure,0.66', 'Data Structure,0.31', 'Big Data,0.5', 'User Interface,0.21', 'Big Data,0.53', 'Big Data,0.55', 'Multi Thread,0.49', 'Data Structure,0.49', 'Parser,0.53', 'Setup,0.54', 'Error Handling,0.67', 'Data Structure,0.62', 'Database,0.53', 'Multi Thread,0.46', 'Big Data,0.58', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.63', 'User Interface,0.5', 'User Interface,0.56', 'Setup,0.53', 'Error Handling,0.66', 'Parser,0.31', 'Setup,0.47', 'Security,0.66', 'Software Development and IT Operations,0.53', 'Data Structure,0.47', 'Data Structure,0.57', 'Multi Thread,0.2', 'Application Performance Manager,0.46', 'User Interface,0.51', 'Parser,0.39', 'Multi Thread,0.32', 'Multi Thread,0.31', 'Data Structure,0.51', 'Multi Thread,0.53', 'Data Structure,0.54', 'Data Structure,0.6', 'Database,0.65', 'Input and Output,0.56', 'Software Development and IT Operations,0.54', 'Big Data,0.3', 'Input and Output,0.57', 'Setup,0.55', 'Input and Output,0.48', 'Big Data,0.63', 'Natural Language Processing,0.52', 'Data Structure,0.65', 'Software Development and IT Operations,0.56', 'Error Handling,0.65', 'Multi Thread,0.33', 'Data Structure,0.58', 'Multi Thread,0.43', 'Software Development and IT Operations,0.65', 'Data Structure,0.59', 'Data Structure,0.56', 'Parser,0.51', 'Software Development and IT Operations,0.6', 'Big Data,0.59'}"
20,airhacks,"{'Setup,0.26', 'Setup,0.42', 'Geographic Information System ,0.49', 'Application Performance Manager,0.34'}"
